date,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar
PRC,0.33577,0.1335799,0.0053125,0.01029,0.00612952
AVGT,35.464743,35.52293,40.0349,46.6297468,49.1139241
MAXT,46.935,49.5243,56.1395,63.049505,63.8078431
MINT,32.591,29.249,29.6924,35.0753968,39.9823529
COUNT,138,3,19,302,29
score,0.079535978,0.3,0.167026942,0.088777976,0.152879089
